Time (hh:mm:ss), Latitude (deg), Longitude (deg), Altitude (m), Distance (m), Displacement (m), Ground Speed (km/h), Target Speed (km/h), Power (W), Cadence (rpm), Velocity (km/h), Simulated Distance (m), Heart Rate (bpm), Battery (V),,,,,,,
0:42:49,40.3886909,-117.0454101,1945.392212,850,8673,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:51,40.391304,-117.0446395,1572.05722,1141,8386,0.8279999,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:55,40.3926353,-117.0442047,1383.049164,1291,8239,0.0719999,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:57,40.3928832,-117.0438842,1405.247162,1322,8209,4.1399998,0,0,0,0,0,0,12.191905, ,,,,,,
0:42:59,40.3933906,-117.0432052,1449.033173,1382,8149,1.8359999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:01,40.393402,-117.0432052,1451.914154,1384,8148,0.5039999,0,0,0,0,0,0,12.2314891, ,,,,,,
0:43:03,40.3934135,-117.0432205,1455.07724,1385,8147,0.6839999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:05,40.3934135,-117.0432052,1455.480194,1385,8147,0.2879999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:07,40.3934097,-117.0432052,1455.189178,1385,8147,0.2879999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:09,40.3934097,-117.0432052,1455.268158,1385,8147,0.3599999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:11,40.3934097,-117.0432205,1455.680267,1386,8147,0.3959999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:13,40.393402,-117.0432052,1455.667206,1387,8148,0.2879999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:15,40.393402,-117.0432052,1455.329193,1387,8148,0.1799999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:17,40.393402,-117.0432052,1455.090179,1387,8148,0.2159999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:19,40.393402,-117.0432052,1455.099213,1387,8148,0.0719999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:21,40.393402,-117.0432052,1455.094208,1387,8148,0.3599999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:23,40.393402,-117.0432052,1455.0112,1387,8148,0.2519999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:25,40.393402,-117.0432052,1454.87619,1387,8148,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:27,40.393402,-117.0431976,1454.643158,1387,8148,0.1799999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:43:29,40.3934097,-117.0432052,1454.371185,1388,8147,0.3959999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:31,40.393402,-117.0432052,1453.74118,1388,8148,0.4679999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:33,40.393402,-117.0432052,1452.738251,1388,8148,0.6119999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:35,40.393402,-117.0431976,1452.272186,1389,8148,0.6839999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:37,40.3933944,-117.0431976,1451.790253,1390,8148,1.2599999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:39,40.3933982,-117.0431823,1451.263153,1390,8148,1.9439998,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:41,40.3934097,-117.0431823,1451.622162,1391,8147,0.5039999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:43,40.3934097,-117.0431823,1452.004242,1391,8147,0.5759999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:43:45,40.3933944,-117.0431976,1451.322235,1392,8148,1.7639999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:47,40.3933906,-117.0432052,1450.777191,1393,8149,0.4319999,0,0,0,0,0,0,12.191905, ,,,,,,
0:43:47,40.3933906,-117.0432052,1450.777191,1393,8149,0.4319999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:43:47,40.3933906,-117.0432052,1450.777191,1393,8149,0.4319999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:43:47,40.3933906,-117.0432052,1450.777191,1393,8149,0.4319999,0,0,0,0,0,0,12.1523218, GPS lost connection. ,,,,,,
0:43:55,40.3933906,-117.0432052,1450.50827,1393,8149,0.4679999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:43:55,40.3933906,-117.0432052,1450.50827,1393,8149,0.4679999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:43:58,40.3933906,-117.0432052,1450.50827,1393,8149,0.4679999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:01,40.3933791,-117.0432052,1449.727264,1395,8150,0.5759999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:03,40.3933753,-117.0432052,1449.344208,1395,8151,0.6119999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:05,40.3933753,-117.0432052,1449.114227,1395,8151,0.3959999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:07,40.393383,-117.0432052,1450.078217,1396,8150,0.1439999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:09,40.393383,-117.0432052,1451.459198,1396,8150,0.4319999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:11,40.3933944,-117.0432052,1452.62619,1397,8148,0.1439999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:13,40.393402,-117.0432052,1453.842255,1398,8148,0.1439999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:15,40.393402,-117.0432205,1454.71225,1398,8148,0.1079999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:17,40.393402,-117.0432205,1455.428192,1398,8148,0.0359999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:19,40.3934097,-117.0432205,1456.054169,1399,8147,0.1799999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:21,40.3934097,-117.0432205,1456.699188,1399,8147,0.3599999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:23,40.3934097,-117.0432205,1456.680267,1399,8147,0.2879999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:25,40.3934097,-117.0432205,1457.363251,1399,8147,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:27,40.3934097,-117.0432205,1457.62326,1399,8147,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:29,40.3934097,-117.0432205,1457.815155,1399,8147,0.1079999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:31,40.3934097,-117.0432205,1457.931244,1399,8147,0.0359999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:33,40.3934097,-117.0432205,1457.968231,1399,8147,0.2879999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:35,40.3934097,-117.0432205,1458.197235,1399,8147,0,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:37,40.3934097,-117.0432205,1458.583221,1399,8147,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:39,40.3934097,-117.0432205,1458.881195,1399,8147,0.0359999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:41,40.3934097,-117.0432205,1458.862274,1399,8147,0.2519999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:43,40.3934097,-117.0432052,1458.773163,1399,8147,0.2879999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:45,40.3934097,-117.0432052,1458.638153,1399,8147,0.1799999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:47,40.3934097,-117.0432052,1458.530243,1399,8147,0.2879999,0,0,0,0,0,0,12.191905, ,,,,,,
0:44:49,40.3934097,-117.0432052,1458.467255,1399,8147,0.1799999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:51,40.3934097,-117.0432052,1458.52121,1399,8147,0.4679999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:53,40.3934097,-117.0432052,1458.5112,1400,8147,0.1439999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:55,40.3934097,-117.0432052,1458.143158,1400,8147,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:57,40.3934097,-117.0432052,1458.085175,1400,8147,0.2159999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:59,40.3934097,-117.0432052,1458.120209,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:59,40.3934097,-117.0432052,1458.120209,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:59,40.3934097,-117.0432052,1458.120209,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:44:59,40.3934097,-117.0432052,1458.120209,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, GPS lost connection. ,,,,,,
0:45:07,40.3934097,-117.0432052,1458.210175,1400,8147,0,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:09,40.3934097,-117.0432052,1458.322235,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:11,40.3934097,-117.0432052,1458.32016,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:13,40.3934097,-117.0432052,1458.423187,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:15,40.3934097,-117.0432052,1458.58725,1400,8147,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:17,40.3934097,-117.0432052,1458.610199,1400,8147,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:19,40.3934097,-117.0432052,1458.642181,1400,8147,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:21,40.3934097,-117.0432052,1458.716156,1401,8147,0.1439999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:23,40.3934097,-117.0432052,1458.710175,1401,8147,0.1799999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:25,40.3934097,-117.0432052,1458.641205,1401,8147,0.1439999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:27,40.3934097,-117.0432052,1458.559174,1401,8147,0.3959999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:29,40.3934097,-117.0432052,1458.520233,1401,8147,0.1799999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:31,40.3934097,-117.0432052,1458.517181,1401,8147,0.1799999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:45:31,40.3934097,-117.0432052,1458.517181,1401,8147,0.1799999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:45:31,40.3934097,-117.0432052,1458.517181,1401,8147,0.1799999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:31,40.3934097,-117.0432052,1458.517181,1401,8147,0.1799999,0,0,0,0,0,0,12.1523218, GPS lost connection. ,,,,,,
0:45:39,40.393402,-117.0432052,1458.375214,1401,8148,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:41,40.393402,-117.0432052,1458.180267,1401,8148,0.3959999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:43,40.393402,-117.0432052,1458.239227,1401,8148,0.0719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:45,40.393402,-117.0432052,1458.235199,1401,8148,0.1439999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:47,40.393402,-117.0432052,1458.165253,1401,8148,0.0359999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:49,40.393402,-117.0432052,1458.152191,1401,8148,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:51,40.393402,-117.0432052,1458.172211,1401,8148,0.3599999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:53,40.393402,-117.0432052,1458.215179,1401,8148,1.7639999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:55,40.3934097,-117.0432205,1458.166229,1402,8147,2.1599998,0,0,0,0,0,0,12.1127366, ,,,,,,
0:45:57,40.3934135,-117.0432357,1458.147186,1403,8147,2.0159997,0,0,0,0,0,0,12.1523218, ,,,,,,
0:45:59,40.3934211,-117.0432434,1458.225189,1404,8146,1.9439998,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:01,40.3934287,-117.0432434,1458.363251,1404,8145,1.9799998,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:03,40.3934287,-117.0432586,1458.411224,1405,8145,1.7999999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:03,40.3934287,-117.0432586,1458.411224,1405,8145,1.7999999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:03,40.3934287,-117.0432586,1458.411224,1405,8145,1.7999999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:03,40.3934287,-117.0432586,1458.411224,1405,8145,1.7999999,0,0,0,0,0,0,12.1127366, GPS lost connection. ,,,,,,
0:46:11,40.3934326,-117.0432739,1458.188202,1405,8145,1.0799999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:13,40.393444,-117.0432815,1457.710175,1406,8144,1.8719999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:14,40.3934478,-117.0432968,1457.690155,1407,8144,1.7999999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:14,40.3934478,-117.0432968,1457.690155,1407,8144,1.7999999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:14,40.3934478,-117.0432968,1457.690155,1407,8144,1.7999999,0,0,0,0,0,0,12.1523218, GPS lost connection. ,,,,,,
0:46:14,40.3934478,-117.0432968,1457.690155,1407,8144,1.7999999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:23,40.3934554,-117.0433196,1457.478241,1409,8143,0.1799999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:25,40.3934593,-117.0433349,1457.341156,1409,8143,0.2519999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:27,40.3934593,-117.0433349,1457.207245,1409,8143,0.2159999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:29,40.3934516,-117.0433349,1457.20517,1410,8144,1.2599999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:31,40.3934478,-117.0433349,1457.218231,1411,8144,0.5399999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:33,40.3934478,-117.0433349,1457.250214,1411,8144,0.1799999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:35,40.3934478,-117.0433349,1457.213226,1411,8144,0.2159999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:37,40.3934478,-117.0433349,1457.350189,1411,8144,0.8279999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:39,40.3934516,-117.0433349,1457.425262,1411,8144,1.9079998,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:41,40.3934593,-117.0433349,1457.470184,1412,8143,2.8799998,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:43,40.3934783,-117.0433502,1457.515228,1414,8141,3.0239999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:45,40.3934898,-117.0433502,1457.526215,1416,8139,3.5279998,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:47,40.3935088,-117.0433502,1457.640228,1418,8138,3.5999998,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:49,40.3935279,-117.0433578,1457.853241,1420,8136,3.3119997,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:51,40.3935394,-117.0433578,1458.052216,1421,8135,2.5559999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:53,40.3935508,-117.0433578,1458.274261,1422,8133,0.8639999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:55,40.3935546,-117.0433578,1458.399261,1423,8133,0.1079999,0,0,0,0,0,0,12.1523218, ,,,,,,
0:46:56,40.3935546,-117.0433578,1458.420258,1423,8133,0.1439999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:56,40.3935546,-117.0433578,1458.420258,1423,8133,0.1439999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:46:56,40.3935546,-117.0433578,1458.420258,1423,8133,0.1439999,0,0,0,0,0,0,12.1127366, GPS lost connection. ,,,,,,
0:46:56,40.3935546,-117.0433578,1458.420258,1423,8133,0.1439999,0,0,0,0,0,0,12.1127366, ,,,,,,
0:47:05,40.3935737,-117.0433578,1458.34726,1425,8131,10.6199998,0,0,0,0,0,0,12.1127366, ,,,,,,
0:47:07,40.3936309,-117.0433578,1458.282196,1432,8125,15.9479989,0,0,0,0,0,0,12.1127366, ,,,,,,
0:47:08,40.3936691,-117.0433883,1458.303192,1436,8121,17.8199996,0,0,0,0,0,0,12.1127366, ,,,,,,
0:47:10,40.3937263,-117.0433883,1458.348236,1442,8115,20.7719993,0,264.6300201,36.5074501,10.5138235,2.3999264,0,12.1127366, ,,,,,,
0:47:13,40.3938255,-117.0434112,1458.440155,1454,8104,23.6159991,0,147.9648818,42.5079689,16.2780856,13.5324935,0,12.1127366, ,,,,,,
0:47:15,40.3940276,-117.0434799,1458.460175,1476,8084,25.3079986,0,196.8385238,44.6428527,18.4940223,20.0232868,0,12.1127366, ,,,,,,
0:47:15,40.3940276,-117.0434799,1458.460175,1476,8084,25.3079986,0,222.7734069,46.6744422,20.6196365,27.0067043,0,12.1127366, ,,,,,,
0:47:15,40.3940276,-117.0434799,1458.460175,1476,8084,25.3079986,0,297.1019134,50.7292289,25.0037136,41.9958762,0,12.1127366, ,,,,,,
0:47:15,40.3940276,-117.0434799,1458.460175,1476,8084,25.3079986,0,250.2372894,55.172409,28.0723628,58.0292739,0,12.1127366, GPS lost connection. ,,,,,,
0:47:15,40.3940276,-117.0434799,1458.460175,1476,8084,25.3079986,0,291.1471404,60.6980247,31.6187267,83.1863098,0,12.1127366, ,,,,,,
0:47:15,40.3940276,-117.0434799,1458.460175,1476,8084,25.3079986,0,312.4694824,64.6900253,34.4318923,100.4957122,0,12.1127366, ,,,,,,
0:47:26,40.3940276,-117.0434799,1458.460175,1476,8084,36.3239974,0,283.3613128,67.7200851,36.4192733,118.1146316,0,12.1127366, ,,,,,,
0:47:26,40.3940276,-117.0434799,1458.460175,1476,8084,36.3239974,0,183.8271865,70.8800887,38.8018989,144.9235457,0,12.1127366, ,,,,,,
0:47:26,40.3940276,-117.0434799,1458.460175,1476,8084,36.3239974,0,237.6688842,73.1261367,40.1652831,163.0169143,0,12.1127366, ,,,,,,
0:47:32,40.3940276,-117.0434799,1458.460175,1476,8084,36.3239974,0,247.6124877,74.1656341,40.9525336,172.131401,0,12.1127366, ,,,,,,
0:47:32,40.3940276,-117.0434799,1458.460175,1476,8084,36.3239974,0,288.5392303,79.2079162,44.7046089,209.0476989,0,12.1127366, ,,,,,,
0:47:36,40.39468,-117.0436401,1458.075165,1548,8016,44.0279998,0,254.3225555,80.6993865,46.2590446,227.8342132,0,12.1127366, ,,,,,,
0:47:38,40.3953857,-117.0438384,1457.663177,1627,7942,45.5039978,0,241.94281,84.8056487,49.2835731,266.0133209,0,12.1127366, ,,,,,,
0:47:40,40.396141,-117.0440368,1457.189178,1711,7863,46.7999992,0,300.2243041,87.5273437,51.5097465,295.1196441,0,12.1127366, ,,,,,,
0:47:40,40.396141,-117.0440368,1457.189178,1711,7863,46.7999992,0,313.7312927,89.955017,53.5753402,324.5810241,0,12.1127366, ,,,,,,
0:47:45,40.3967246,-117.0441894,1456.75119,1776,7803,50.1119995,0,264.1937713,91.5099029,55.4087371,354.3548583,0,12.1127366, ,,,,,,
0:47:47,40.3970031,-117.0442581,1456.532196,1807,7773,50.9759978,0,205.3005523,92.7356948,55.9159316,364.358612,0,12.1127366, ,,,,,,
0:47:49,40.3972167,-117.0443191,1456.381195,1831,7751,51.7679977,0,205.3005523,92.7356948,55.9159316,364.358612,0,12.1127366, ,,,,,,
0:47:50,40.3974265,-117.0443725,1456.232269,1854,7729,52.3079986,0,240.1220855,96.3855361,59.5753478,435.4534911,0,12.1127366, ,,,,,,
0:47:52,40.3976402,-117.0444335,1456.110199,1878,7707,53.171997,0,285.9456939,98.2800903,61.5617294,476.8426208,0,12.1127366, ,,,,,,
0:47:54,40.3978576,-117.0444869,1455.983246,1902,7684,54.1799964,0,187.775505,100.5867538,63.5021362,518.688507,0,12.0731525, ,,,1.397260274,,,
0:47:57,40.3983383,-117.0446166,1455.68222,1956,7633,55.2599983,0,191.2197799,83.2754974,64.4781417,544.3023376,0,12.1127366, ,,,1.4,,,
0:47:59,40.3986549,-117.0446929,1455.500214,1991,7600,56.0879974,0,257.931137,73.1558532,66.1011123,588.9259948,0,12.1127366, ,,,,,,
0:48:01,40.3988418,-117.0447463,1455.380218,2012,7580,57.2039985,0,306.6367797,74.557312,67.1184158,618.7061157,0,12.1127366, ,,,,,,
0:48:03,40.3992194,-117.0448455,1455.142181,2054,7540,58.1039962,0,259.4831085,75.8054275,67.993019,648.5367431,0,12.1127366, ,,,,,,
0:48:05,40.3994064,-117.0448989,1455.050262,2075,7521,58.9679984,0,259.9017181,76.433113,68.8234252,678.3703002,0,12.1127366, ,,,,,,
0:48:07,40.3995971,-117.0449447,1454.951263,2096,7500,59.579998,0,316.7868347,77.6196593,70.2554092,723.1652831,0,12.0731525, ,,,,,,
0:48:08,40.3998412,-117.0449981,1454.791229,2123,7475,60.5519981,0,301.8073119,80.1603164,71.8575286,782.8026122,0,12.1127366, ,,,,,,
0:48:11,40.4003372,-117.0451278,1454.380218,2179,7422,62.0999984,0,282.9732818,81.1358947,72.5531768,812.5484619,0,12.1127366, ,,,,,,
0:48:12,40.4005355,-117.0451812,1454.216156,2201,7401,62.5679969,0,260.8827972,82.079338,73.3313522,856.9824828,0,12.0731525, ,,,,,,
0:48:15,40.4009475,-117.0453033,1453.918182,2246,7358,63.8279991,0,240.9017943,83.5073013,74.0092697,901.1949462,0,12.1127366, ,,,,,,
0:48:17,40.4012107,-117.045372,1453.747162,2276,7330,64.4399948,0,207.1908569,84.4772949,74.5661849,945.2238769,0,12.1127366, ,,,,,,
0:48:19,40.4014701,-117.045433,1453.573212,2305,7303,65.159996,0,211.4624938,84.925682,74.7482528,959.8753661,0,12.1127366, ,,,,,,
0:48:21,40.4017333,-117.0455093,1453.393158,2334,7275,65.5919952,0,233.0889434,86.1450042,75.8524627,1018.41803,0,12.0731525, ,,,,,,
0:48:23,40.4017333,-117.0455093,1453.393158,2334,7275,66.6359939,0,256.1329498,87.2727203,76.6958923,1062.292053,0,12.1127366, ,,,,,,
0:48:25,40.402111,-117.0456008,1453.128265,2376,7235,66.9239959,0,263.6109161,88.2352905,77.4796066,1106.119087,0,12.1127366, ,,,,,,
0:48:27,40.4024887,-117.0457,1452.868256,2418,7195,67.7519989,0,228.0809936,88.6699447,78.2013168,1150.01252,0,12.1127366, ,,,,,,
0:48:29,40.4029273,-117.0458221,1452.61618,2467,7149,68.1839981,0,217.0418243,89.2414398,78.8726196,1194.015083,0,12.1127366, ,,,,,,
0:48:31,40.4035415,-117.0459747,1452.401215,2535,7083,68.5439987,0,244.9627074,89.7531738,79.6142806,1238.160355,0,12.1127366, ,,,,,,
0:48:33,40.4039344,-117.0460739,1452.269257,2579,7042,69.2279968,0,274.3022308,90.5660324,80.4203796,1282.391922,0,12.0731525, ,,,,,,
0:48:35,40.4041557,-117.0461425,1452.185272,2603,7018,69.7319946,0,208.5896301,91.0470352,80.8179168,1311.930389,0,12.1127366, ,,,,,,
0:48:37,40.4046134,-117.046257,1452.040253,2654,6969,70.0559997,0,248.1156005,91.4401779,81.407196,1356.283173,0,12.1127366, ,,,,,,
0:48:39,40.4049529,-117.0463561,1451.851166,2692,6933,70.236,0,147.5724563,92.1658935,81.9748305,1415.477875,0,12.0731525, ,,,,,,
0:48:41,40.4053001,-117.0464477,1451.594208,2731,6897,70.7039947,0,168.5121536,92.7356948,82.4068374,1474.720306,0,12.1127366, ,,,,,,
0:48:43,40.405651,-117.0465393,1451.299164,2770,6859,71.1359939,0,230.7327575,93.3852081,82.8213271,1519.048798,0,12.0731525, ,,,,,,
0:48:45,40.4059982,-117.0466155,1451.034271,2808,6822,71.5319976,0,230.7327575,93.3852081,82.8213271,1519.048798,0,12.0731525, ,,,,,,
0:48:47,40.4063491,-117.0467147,1450.81723,2847,6785,72.2519988,0,244.2903442,94.6745528,83.8041458,1607.511841,0,12.0731525, ,,,,,,
0:48:49,40.4067001,-117.0468063,1450.679169,2886,6747,72.6119994,0,220.4705505,95.3137359,84.2681732,1651.671387,0,12.0731525, ,,,1.25,,,
0:48:51,40.4070548,-117.0468902,1450.500214,2926,6709,73.1159973,0,179.1931228,95.9232558,84.538742,1681.085449,0,12.0731525, ,,,1.2,,,
0:48:53,40.4074172,-117.046997,1450.293182,2966,6670,73.7279968,0,236.7404327,80.2675552,85.1098175,1734.036377,0,12.0731525, ,,,,,,
0:48:55,40.4077835,-117.0470886,1450.078217,3007,6631,74.3759994,0,300.4329528,81.1358947,85.8803024,1786.873779,0,12.1127366, ,,,,,,
